YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1991,6.69,6.00,6.70,5.30,3.85,3.30,3.49,3.60,3.76,3.61,4.41,5.86,6.10,5.28,3.46,3.93,4.69
1992,7.25,6.36,5.36,5.01,3.41,2.81,2.86,1.66,3.11,3.86,5.06,5.81,6.49,4.59,2.44,4.01,4.38
1993,7.01,7.15,6.33,6.15,4.61,2.65,4.17,3.32,3.49,3.54,4.28,5.90,6.66,5.70,3.38,3.77,4.88
1994,6.21,6.73,6.20,4.79,4.00,2.50,2.84,2.45,1.22,3.42,3.66,5.01,6.28,5.00,2.60,2.77,4.16
1995,5.83,6.33,5.42,5.41,4.41,1.93,-0.34,3.10,999.90,999.90,999.90,999.90,5.72,5.08,1.56,999.90,3.84
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1997,999.90,999.90,999.90,999.90,999.90,999.90,999.90,3.07,3.01,3.03,3.26,5.32,999.90,999.90,999.90,3.10,999.90
1998,6.26,6.62,5.48,4.45,4.30,3.65,3.10,2.84,4.00,3.75,5.05,6.80,6.07,4.74,3.20,4.27,4.57
1999,7.10,7.95,6.80,5.45,4.85,3.20,3.45,3.60,4.80,4.85,5.28,5.54,7.28,5.70,3.42,4.98,5.34
2000,6.50,6.60,6.00,4.80,4.20,3.30,4.30,2.80,5.00,4.60,4.50,6.60,6.21,5.00,3.47,4.70,4.84
2001,6.70,6.50,999.90,6.10,3.70,3.60,3.90,3.60,4.50,4.50,5.30,6.40,6.60,5.42,3.70,4.77,5.12
2002,8.39,8.30,6.10,5.90,3.80,3.40,4.20,3.35,3.60,4.60,5.75,6.60,7.70,5.27,3.65,4.65,5.32
2003,7.20,6.70,6.60,5.90,3.95,2.85,2.85,4.20,2.85,4.10,4.20,5.20,6.83,5.48,3.30,3.72,4.83
2004,6.80,6.40,6.39,5.20,4.10,3.45,3.20,2.45,3.00,3.25,4.40,5.10,6.13,5.23,3.03,3.55,4.49
2005,7.30,7.75,6.95,5.75,3.90,4.00,3.10,3.45,3.00,4.82,5.80,8.10,6.72,5.53,3.52,4.54,5.08
2006,6.80,7.50,6.40,6.30,5.65,3.33,3.15,3.64,3.57,3.75,3.30,5.40,7.47,6.12,3.37,3.54,5.12
2007,6.80,7.21,6.58,5.44,4.98,2.64,2.18,4.39,4.24,3.80,4.60,6.60,6.47,5.67,3.07,4.21,4.85
2008,6.80,7.10,6.95,5.87,4.99,4.35,3.72,3.52,4.18,3.51,3.60,5.70,6.83,5.94,3.86,3.76,5.10
2009,6.80,6.40,6.40,6.12,4.95,3.74,2.80,4.32,4.45,4.16,4.15,5.90,6.30,5.82,3.62,4.25,5.00
2010,7.40,7.80,6.56,5.42,5.38,4.35,4.12,4.24,2.06,4.30,5.50,6.20,7.03,5.79,4.24,3.95,5.25
2011,7.10,7.10,6.30,5.63,4.27,4.45,2.04,3.41,4.08,5.08,5.10,6.60,6.80,5.40,3.30,4.75,5.06
2012,6.60,7.40,7.04,6.37,4.73,2.74,4.46,5.12,4.08,3.10,5.30,6.20,6.87,6.05,4.11,4.16,5.29
2013,7.00,7.10,6.90,5.61,4.29,3.37,3.24,4.28,3.40,3.80,4.60,6.56,6.77,5.60,3.63,3.93,4.98
2014,6.50,7.40,7.20,6.65,4.20,4.35,4.00,3.55,3.85,3.90,4.65,7.10,6.82,6.02,3.97,4.13,5.23
2015,7.60,7.90,7.30,5.20,4.50,2.45,2.80,2.40,3.00,3.45,4.20,5.80,7.53,5.67,2.55,3.55,4.83
2016,6.25,6.25,5.95,5.15,4.15,4.40,3.60,4.05,4.85,5.20,5.65,6.85,6.10,5.08,4.02,5.23,5.11
2017,7.15,8.00,7.55,6.60,5.15,4.35,2.90,3.75,4.20,4.25,5.10,6.85,7.33,6.43,3.67,4.52,5.49
2018,7.95,7.00,6.80,5.15,4.05,4.90,4.20,4.35,4.45,4.60,6.15,8.10,7.27,5.33,4.48,5.07,5.54
2019,7.15,7.50,7.35,6.70,5.20,4.25,4.25,2.55,3.10,4.15,5.45,6.65,7.58,6.42,3.68,4.23,5.48
2020,7.30,7.20,6.85,6.40,5.20,3.85,3.80,2.65,2.60,4.90,6.05,6.70,7.05,6.15,3.43,4.52,5.29
2021,7.25,8.15,7.00,5.25,4.60,4.15,2.90,3.35,3.30,4.65,6.00,6.60,7.37,5.62,3.47,4.65,5.28
2022,7.40,7.55,7.30,6.00,5.10,3.45,3.50,3.20,3.65,3.85,5.65,6.70,7.18,6.13,3.38,4.38,5.27
2023,8.00,7.90,6.75,5.95,4.90,4.30,4.10,3.95,3.75,3.80,4.95,6.10,7.53,5.87,4.12,4.17,5.42
2024,7.05,7.00,5.60,4.85,4.25,4.50,4.50,3.50,3.65,4.60,5.40,6.65,6.72,4.90,4.17,4.55,5.08
2025,8.25,8.55,7.30,6.25,4.95,3.70,5.00,4.50,999.90,999.90,999.90,999.90,7.82,6.17,4.40,999.90,5.85
